epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,144.58,0.51662,0.84608,0.67541,0.00312,0.34656,0.85078,0.81537,0.89704,0.80355,0.85078,0.81537,0.89687,0.77674,0.5502,1.4138,0.72039,0.00458,0,0.000920142,0.000920142,0.000920142
57,147.073,0.54266,0.78507,0.70188,0.00309,0.33598,0.78154,0.83737,0.87342,0.77608,0.78154,0.83737,0.872,0.7579,0.68101,1.31489,0.6032,0.00587,0,0.000917296,0.000917296,0.000917296
58,149.524,0.51594,0.761,0.64238,0.00293,0.34489,0.86057,0.80786,0.90112,0.80405,0.86057,0.80786,0.89787,0.79624,0.68429,1.19812,0.55046,0.00585,0,0.000914405,0.000914405,0.000914405
59,151.945,0.53111,0.79411,0.64295,0.0031,0.36744,0.77851,0.84061,0.89363,0.80811,0.82485,0.78895,0.89008,0.7921,0.62038,1.11927,0.56371,0.00524,0,0.000911469,0.000911469,0.000911469
60,154.423,0.55718,0.80558,0.66037,0.00332,0.33181,0.87167,0.78166,0.88697,0.79374,0.87167,0.78166,0.88519,0.78343,0.55119,0.89426,0.82116,0.00454,0,0.000908488,0.000908488,0.000908488
61,156.826,0.54335,0.72047,0.65973,0.00304,0.34893,0.83498,0.80879,0.88776,0.814,0.83498,0.80879,0.8856,0.78548,0.52349,0.79553,0.73867,0.00437,0,0.000905463,0.000905463,0.000905463
62,159.232,0.50275,0.74651,0.60714,0.00297,0.28471,0.82424,0.81991,0.90599,0.82401,0.81831,0.81547,0.9019,0.80398,0.48894,0.8279,0.60445,0.00407,0,0.000902395,0.000902395,0.000902395
63,161.648,0.51721,0.67406,0.61411,0.00305,0.31443,0.87836,0.78936,0.90621,0.82521,0.87795,0.78184,0.90219,0.78786,0.50279,1.00146,0.59102,0.00412,0,0.000899282,0.000899282,0.000899282
64,164.13,0.51948,0.76906,0.60787,0.00291,0.32133,0.82705,0.8451,0.90408,0.81717,0.82705,0.8451,0.90157,0.78302,0.508,1.24667,0.56176,0.00424,0,0.000896127,0.000896127,0.000896127
65,166.571,0.56806,0.88903,0.61314,0.00325,0.31501,0.79525,0.81046,0.87816,0.80726,0.78508,0.80198,0.86846,0.76735,0.45759,1.46706,0.65119,0.00379,0,0.000892928,0.000892928,0.000892928
66,168.968,0.5359,0.74124,0.63743,0.00323,0.28538,0.82075,0.78182,0.88216,0.7828,0.81506,0.7775,0.87474,0.77603,0.53528,1.37889,0.70063,0.00437,0,0.000889687,0.000889687,0.000889687
67,171.439,0.49092,0.6735,0.61532,0.00285,0.28826,0.80892,0.84415,0.90695,0.81425,0.80391,0.83821,0.89883,0.80127,0.48959,1.07892,0.66687,0.00405,0,0.000886404,0.000886404,0.000886404
68,173.903,0.52397,0.83976,0.62656,0.00307,0.36564,0.87049,0.82763,0.92268,0.83506,0.87049,0.82763,0.92107,0.83227,0.47221,0.92558,0.5941,0.00381,0,0.000883079,0.000883079,0.000883079
69,176.374,0.54091,0.68743,0.61836,0.00326,0.26659,0.85686,0.84971,0.92413,0.84013,0.85686,0.84971,0.92223,0.83435,0.44911,0.83813,0.53653,0.00357,0,0.000879713,0.000879713,0.000879713
